file,line,class,align,category,suggestion
app/(site)/compare/page.tsx,250,text-start,start,logical,
app/(site)/compare/page.tsx,262,text-start,start,logical,
app/(site)/not-found.tsx,29,text-center,center,center,
app/(site)/products/[category]/CategoryPageView.tsx,42,text-center,center,center,
app/(site)/products/[category]/FilterGrid.components.tsx,51,text-start,start,logical,
app/(site)/products/[category]/FilterGridInner.tsx,476,text-center,center,center,
app/(site)/products/[category]/[product]/ProductViewer.tsx,560,text-center,center,center,
app/(site)/products/[category]/[product]/ProductViewer.tsx,567,text-center,center,center,
app/(site)/projects/page.tsx,44,text-center,center,center,
app/(site)/projects/page.tsx,55,text-center,center,center,
app/(site)/quote-cart/page.tsx,85,text-center,center,center,
app/(site)/quote-cart/page.tsx,132,text-center,center,center,
app/(site)/solutions/page.tsx,103,text-center,center,center,
app/(site)/templates/page.tsx,42,text-center,center,center,
components/home/FeaturedCarousel.tsx,174,text-center,center,center,
components/home/Hero.tsx,137,text-start,start,logical,
components/home/Hero.tsx,146,text-start,start,logical,
components/home/Hero.tsx,147,text-start,start,logical,
components/home/Hero.tsx,154,text-start,start,logical,
components/home/Hero.tsx,155,text-start,start,logical,
components/home/Hero.tsx,172,text-start,start,logical,
components/home/HomeFAQ.tsx,42,text-start,start,logical,
components/home/Teaser.tsx,49,md:text-end,end,logical,
components/home/Teaser.tsx,49,md:text-start,start,logical,
components/home/WhyChooseUs.tsx,63,text-center,center,center,
components/site/EditorialRoute.tsx,58,text-center,center,center,
components/site/MaintenanceBanner.tsx,9,text-center,center,center,
components/site/SiteErrorBoundary.tsx,55,text-center,center,center,
components/site/SiteErrorBoundary.tsx,86,text-start,start,logical,
components/support/VisualIVR.tsx,160,text-start,start,logical,
components/support/VisualIVR.tsx,181,text-center,center,center,
components/ThreeViewer.tsx,35,text-center,center,center,
components/ui/HotspotImage.tsx,78,text-start,start,logical,
features/crm/ClientsView.tsx,146,text-center,center,center,
features/crm/ClientsView.tsx,310,text-center,center,center,
features/crm/ProjectDetailView.tsx,124,text-center,center,center,
features/crm/ProjectDetailView.tsx,237,text-center,center,center,
features/crm/ProjectDetailView.tsx,293,text-center,center,center,
features/crm/ProjectDetailView.tsx,337,text-center,center,center,
features/crm/ProjectDetailView.tsx,362,text-center,center,center,
features/crm/ProjectsView.tsx,124,text-center,center,center,
features/crm/ProjectsView.tsx,200,text-center,center,center,
features/crm/QuotesView.tsx,204,text-center,center,center,
features/planner/3d/Planner3DViewer.tsx,285,text-center,center,center,
features/planner/3d/Planner3DViewer.tsx,601,text-center,center,center,
features/planner/3d/Planner3DViewer.tsx,712,text-center,center,center,
features/planner/admin/AdminAnalyticsPageView.tsx,158,text-start,start,logical,
features/planner/admin/AdminCatalogTable.tsx,50,text-end,end,logical,
features/planner/admin/AdminInventoryPageView.tsx,154,text-start,start,logical,
features/planner/admin/AdminPlansPageView.tsx,523,text-start,start,logical,
features/planner/admin/AdminWorkspaceCatalogPageView.tsx,101,text-start,start,logical,
features/planner/admin/AdminWorkspaceCatalogPageView.tsx,158,text-start,start,logical,
features/planner/admin/AdminWorkspaceCatalogPageView.tsx,159,text-start,start,logical,
features/planner/admin/AdminWorkspaceCatalogPageView.tsx,160,text-start,start,logical,
features/planner/editor/PlannerErrorBoundary.tsx,50,text-center,center,center,
features/planner/help/PlannerHelpPage.tsx,101,text-center,center,center,
features/planner/landing/PlannerFeatureDemo.tsx,252,text-center,center,center,
features/planner/landing/PlannerLandingPage.tsx,53,text-center,center,center,
features/planner/landing/PlannerLandingPage.tsx,95,text-center,center,center,
features/planner/onboarding/OnboardingCoach.tsx,153,text-center,center,center,
features/planner/onboarding/ProjectSetupStep.tsx,39,text-end,end,logical,
features/planner/onboarding/StartingPointStep.tsx,29,text-center,center,center,
features/planner/onboarding/StartingPointStep.tsx,46,text-start,start,logical,
features/planner/portal/PortalPlanPageView.tsx,74,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,78,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,82,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,86,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,90,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,100,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,104,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,110,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,114,text-end,end,logical,
features/planner/portal/PortalPlanPageView.tsx,140,text-end,end,logical,
features/planner/ui/PlannerSessionDialog.tsx,345,text-start,start,logical,
features/planner/ui/PlannerSessionDialog.tsx,393,text-start,start,logical,
features/planner/ui/PlannerSessionDialog.tsx,471,text-start,start,logical,
features/shared/auth/components/SignupPage.tsx,77,text-center,center,center,
features/shared/auth/components/SignupPage.tsx,179,text-center,center,center,
features/shared/auth/components/SuspendedPage.tsx,24,text-center,center,center,
lib/ai/AiAdvisorPanel.tsx,131,text-start,start,logical,
lib/ui/KeyboardShortcuts.tsx,138,text-center,center,center,
lib/ui/KeyboardShortcuts.tsx,171,text-center,center,center,
lib/ui/SmartLayoutEngine.tsx,163,text-start,start,logical,